Year,Month,Day,HighTemp,LowTemp
2021,12,8,2.02767,-4.16974
2021,12,9,3.43007,-5.97772
2021,12,10,0.812105,-5.70025
2021,12,11,0.141366,-7.28062
2021,12,12,-0.174429,-5.69048
2021,12,13,1.71853,-7.96136
2021,12,14,2.58976,-5.78021
2021,12,15,-0.13324,-4.94559
2021,12,16,3.03946,-5.45518
2021,12,17,0.485025,-6.67885
2021,12,18,3.40158,-6.42195
2021,12,19,1.19476,-5.95392
2021,12,20,0.616133,-6.28291
2021,12,21,2.9579,-4.05719
2021,12,22,3.92666,-7.72979
2021,12,23,1.61282,-7.91278
2021,12,24,2.12703,-6.06482
2021,12,25,3.15836,-4.73318
2021,12,26,0.0478459,-4.27418
2021,12,27,3.1107,-7.16361
2021,12,28,2.04841,-7.37602
2021,12,29,3.68335,-4.40016
2021,12,30,-0.0756976,-5.96545
2021,12,31,1.28277,-4.42036
2022,1,1,-2.44844,-7.91147
2022,1,2,0.879208,-9.06238
2022,1,3,-0.416852,-10.5231
2022,1,4,-0.956648,-10.2612
2022,1,5,2.01317,-8.48906
2022,1,6,1.44302,-7.83004
2022,1,7,1.57307,-10.1826
2022,1,8,0.291562,-9.52608
2022,1,9,0.545765,-8.97186
2022,1,10,1.23614,-10.2561
2022,1,11,1.47832,-7.97623
2022,1,12,-0.0454242,-7.58791
2022,1,13,0.507861,-7.0163
2022,1,14,2.74649,-10.3742
2022,1,15,-0.144706,-9.32466
2022,1,16,-0.770335,-8.21513
2022,1,17,0.832236,-10.9238
2022,1,18,-0.174984,-7.37031
2022,1,19,-1.45657,-7.91806
2022,1,20,-1.16281,-7.73769
2022,1,21,0.460153,-10.832
2022,1,22,0.807647,-7.95602
2022,1,23,1.53317,-8.48064
2022,1,24,-1.62244,-10.3305
2022,1,25,0.902891,-7.16456
2022,1,26,-0.29499,-9.15522
2022,1,27,-0.766231,-10.105
2022,1,28,-0.716516,-8.43291
2022,1,29,-1.88112,-9.94333
2022,1,30,2.22017,-10.7719
2022,1,31,-1.05717,-10.7537
2022,2,1,3.49153,-6.4781
2022,2,2,1.92757,-6.01636
2022,2,3,4.35412,-7.77612
2022,2,4,2.75614,-7.34922
2022,2,5,0.780776,-7.93292
2022,2,6,2.27905,-7.21934
2022,2,7,4.4027,-6.49831
2022,2,8,4.09872,-6.54225
2022,2,9,4.83623,-4.13556
2022,2,10,3.80505,-5.17325
2022,2,11,3.23725,-4.70016
2022,2,12,4.43672,-5.25834
2022,2,13,3.46637,-6.16016
2022,2,14,2.63352,-7.24406
2022,2,15,1.24705,-7.72173
2022,2,16,2.18599,-7.92871
2022,2,17,3.47359,-4.68612
2022,2,18,4.51792,-5.33006
2022,2,19,5.44551,-6.18445
2022,2,20,6.87684,-7.65276
2022,2,21,5.53195,-5.65014
2022,2,22,6.49945,-6.70736
2022,2,23,5.36014,-5.64983
2022,2,24,2.99355,-7.44316
2022,2,25,2.26788,-7.13376
2022,2,26,4.04417,-5.05454
2022,2,27,2.19977,-7.01621
2022,2,28,5.15481,-4.74075
2022,3,1,11.6556,-1.14451
2022,3,2,12.6657,-1.33384
2022,3,3,9.06327,-0.37434
2022,3,4,11.4395,1.64537
2022,3,5,12.012,1.72076
2022,3,6,11.6275,0.807398
2022,3,7,9.26544,-0.67629
2022,3,8,11.7467,-1.76171
2022,3,9,10.1898,-1.42454
2022,3,10,9.18937,-1.77953
2022,3,11,11.9582,1.48906
2022,3,12,11.3948,-1.82238
2022,3,13,9.59744,0.439955
2022,3,14,10.3917,1.79595
2022,3,15,7.84549,1.52599
2022,3,16,12.1172,-0.858608
2022,3,17,8.92286,-1.5399
2022,3,18,11.9107,-0.49794
2022,3,19,10.4361,-1.63494
2022,3,20,10.2061,1.3947
2022,3,21,12.2003,0.603961
2022,3,22,10.259,1.408
2022,3,23,11.2852,-0.33314
2022,3,24,9.9284,-1.82971
2022,3,25,9.7368,0.378918
2022,3,26,9.8299,1.24888
2022,3,27,10.8964,0.673238
2022,3,28,12.1433,-1.14103
2022,3,29,11.4925,1.55333
2022,3,30,11.1564,0.16657
2022,3,31,11.77,0.478286
2022,4,1,14.9371,8.16803
2022,4,2,16.2365,9.02799
2022,4,3,17.3914,6.00055
2022,4,4,15.6779,8.72475
2022,4,5,16.2593,6.75246
2022,4,6,18.2107,8.11261
2022,4,7,17.7682,8.29859
2022,4,8,18.2903,6.35078
2022,4,9,19.0834,8.64144
2022,4,10,21.2636,7.06882
2022,4,11,20.2435,8.36628
2022,4,12,17.1834,8.13276
2022,4,13,18.7549,9.8432
2022,4,14,18.2678,7.65728
2022,4,15,17.4583,9.65752
2022,4,16,18.909,8.0412
2022,4,17,18.5484,9.98431
2022,4,18,17.2184,8.51863
2022,4,19,20.7975,9.2996
2022,4,20,20.6635,7.2711
2022,4,21,17.6017,9.25797
2022,4,22,17.4318,8.92099
2022,4,23,16.5106,7.8449
2022,4,24,17.2797,7.6242
2022,4,25,18.5785,9.72484
2022,4,26,16.3349,6.53658
2022,4,27,21.2765,8.97885
2022,4,28,21.5941,7.32408
2022,4,29,16.8738,8.19983
2022,4,30,20.6911,6.10034
2022,5,1,23.0271,15.8671
2022,5,2,25.5596,14.1895
2022,5,3,23.1959,12.2324
2022,5,4,22.371,12.1308
2022,5,5,23.7856,14.2135
2022,5,6,23.9129,14.3179
2022,5,7,24.1013,14.2672
2022,5,8,20.1206,12.0097
2022,5,9,26.8014,12.671
2022,5,10,24.6832,15.9453
2022,5,11,27.8169,15.8318
2022,5,12,24.4658,13.197
2022,5,13,23.0721,14.6399
2022,5,14,25.1668,14.7893
2022,5,15,24.763,14.787
2022,5,16,25.2428,14.523
2022,5,17,25.7787,12.9827
2022,5,18,23.8892,14.1475
2022,5,19,23.4735,14.0029
2022,5,20,22.2797,13.6493
2022,5,21,26.0604,13.7232
2022,5,22,23.4781,12.1291
2022,5,23,24.0429,13.096
2022,5,24,25.6574,13.6171
2022,5,25,23.2556,12.8206
2022,5,26,24.4688,12.6467
2022,5,27,23.2392,14.081
2022,5,28,25.5825,15.5022
2022,5,29,25.9399,12.264
2022,5,30,24.7732,13.1785
